Track Name,spotify_id,Artist,Streams
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1678528
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1445119
Fullir Vasar,3UYdR145K9dnygSKJqUk2d,Aron Can,1335551
B.O.B.A.,6uP2DBITa982EzgIWSrlDY,JóiPé,1199201
Ég Vil Það,3BgrvYaXaaVuDxT9u0Rs1s,Chase Anthony,1022140
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,1001409
Þetta má,4WiK8hgPt5QgwGdt9z7MrJ,Emmsjé Gauti,851035
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,833252
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,827816
Neinei,3mGRGwcZbu63oYmTzjCi1t,Attan,796885
O Shit,4QQQy4piBADsklMVcueNAH,JóiPé,755538
Time,3WR3mQ8SDjJgxbdOFrqfca,Sturla Atlas,729273
Joey Cypher,24nlSZHHUx0XAzo7WDzUTa,Joey Christ,724798
Vor í Vaglaskógi,2OdpZeTpnbqPqBrclk2pib,KALEO,704726
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,668425
Geri Ekki Neitt (feat. Unnsteinn),5N6Oj5rlYlOXkXYt89c3Gy,Aron Can,662275
Já ég veit,6XSYMtvkAuRdnQm0F7i3Bq,Birnir,639050
Sagan Af Okkur,4ranVZMGU28qHZS6DBBdHc,JóiPé,630465
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,628128
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,623081
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,623080
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,615217
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,608700
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,604273
Ár Eftir Ár,2phqKJP6uiVVUnXlOCuHSN,Herra Hnetusmjör,599006
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,596764
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,585601
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,582663
Bróðir,5ugWOBXogNqFeLGOkHffhd,Úlfur Úlfur,569806
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,557342
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,553816
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,Harry Styles,537751
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,537247
Redbone,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,533405
"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,533252
Love On The Brain,2aksifNn5ph8igDOkPBA02,Rihanna,525371
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,522625
Ekki Switcha,1nEjslQgoXyJXWewc8SUTN,Birnir,519242
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,517948
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,512289
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,507120
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,496590
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,494163
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,492395
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,481124
Leika,01BH84YKAUW6My06QFJ8wi,Floni,468656
Ínótt,3zBm6lRfxl6tlPGbKuaTUn,Aron Can,466932
Labba Inn,2nhWiRTIwfiN0INbjxkiYZ,JóiPé,458464
XO TOUR Llif3,2eMwDehkIC1j68U6FA3Eiq,Lil Uzi Vert,454941
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,448570
