Track Name,spotify_id,Artist,Streams
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,2219908.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2136623.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1981127.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1782477.0
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1631118.0
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,1592802.0
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1526867.0
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1474940.0
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1474172.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1439551.0
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1258318.0
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1151852.0
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,1130577.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,1101383.0
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1093460.0
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,1045596.0
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,1043193.0
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,1036888.0
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,1033918.0
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,996251.0
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,980641.0
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,978544.0
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,977912.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,964500.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,931801.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,928686.0
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,917956.0
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,893001.0
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,887962.0
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,869464.0
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,866224.0
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,858708.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,855594.0
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,839158.0
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,819145.0
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,804532.0
Bebe (feat. Anuel AA),6SIrNxmmdbv1KUbFBu1PaN,Ozuna,798323.0
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,795839.0
Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,Ozuna,784715.0
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,782714.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,778188.0
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,771663.0
El Farsante,5EId1m4DNwTf3at31w8bPJ,Ozuna,755610.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,741341.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,734127.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,723909.0
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,714428.0
Caile (feat. Zion & De La Ghetto),626rYyBfeAeleh1F5t4B70,Revol,712398.0
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,697948.0
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,684406.0
