Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,3626772.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,2950701.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,2549623.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2292813.0
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,2278622.0
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,2158754.0
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,2126189.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,2013822.0
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1898348.0
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,1892277.0
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1707383.0
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,1706197.0
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1633801.0
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,1630741.0
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1610040.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1585943.0
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,1583370.0
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,1558511.0
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,1501194.0
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,1478080.0
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,1411551.0
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,1315181.0
Deu Onda,0EPxmvsG1BY5td4aTOkWBF,MC G15,1279790.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1279477.0
Bebe (feat. Anuel AA),6SIrNxmmdbv1KUbFBu1PaN,Ozuna,1232963.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,1203010.0
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,1189519.0
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,1150956.0
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,1137153.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,1135120.0
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,1134555.0
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,1099476.0
Explícale (feat. Bad Bunny),1LszjjoVwDDZcWUQbzeDLG,Yandel,1093995.0
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,1090234.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,1083886.0
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,1054461.0
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,1034133.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,1011168.0
Bailame Despacio,4OaTpLJIa2harufGxfOPUu,Xantos,1007885.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,1002840.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,985425.0
La Última Vez,4J1e3hbf0e5YUZjkxyJWD3,Anuel AA,967680.0
Pode Se Soltar,2mL3B5GilTm4dUT6P8LVpd,Jerry Smith,952354.0
Vuelve,0lJCqIx5BhZtf6QtYI2fbv,Daddy Yankee,946850.0
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,942429.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,938244.0
El Farsante,5EId1m4DNwTf3at31w8bPJ,Ozuna,933295.0
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,920643.0
"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",4UG962ViiLqoUyx0RjCcwP,Bad Bunny,880025.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,871983.0
