Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,14860058.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,10805583.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,8989686.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,7726525.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,7396321.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,7265071.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,6383892.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,6357728.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,6351070.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,6323453.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,6256768.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,5969353.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,5959840.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,5911160.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,5869591.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,5649193.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,5183172.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,5094077.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,5001203.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,4942701.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,4804665.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,4738175.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,4708682.0
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,4613922.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,4612136.0
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,4476794.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,4400138.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,4375907.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,4372357.0
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,4366264.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,4351420.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,4249566.0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,4092387.0
Photograph,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,3915751.0
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2gug6MRv4xQFYi9LA3PJCS,Eric Chou,3791777.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,3773796.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,3697341.0
Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars,3681463.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,3666011.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,3589077.0
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,3577865.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,3553130.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,3545199.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,3515928.0
We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,Charlie Puth,3432999.0
"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,3390314.0
告白氣球,1ivCIgrYZyE0BvItL4Z8lk,Jay Chou,3320519.0
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,3311125.0
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,3218995.0
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,3212490.0
