Track Name,spotify_id,Artist,Streams
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,40957531.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,38420734.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,35125939.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,33429396.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,33315054.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,32571523.0
Toda - Remix,7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,29104635.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,28804493.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,28504760.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,26931792.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,24769922.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,24764664.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,24439006.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,23650274.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,22729398.0
No Te Creas Tan Importante - En Vivo,3trowLiYwwOoiwapLISNyk,Damas Gratis,22501050.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,22467368.0
Vete,2rZB6indPhp8C5AZK1PpkS,KHEA,22373239.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,21945615.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,21206248.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,21045926.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,20988378.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,20943809.0
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,20780708.0
Dimelo,3uwehoqKSQLa5lFFvIX6M3,Paulo Londra,20412682.0
Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,20385298.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,19400418.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,19247972.0
Corazón,4lESS6vuruP6a79KWRaQou,Maluma,19075086.0
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,18699025.0
Loca,0vnrhysrKKRdNYFKLAGzRc,KHEA,18573825.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,18536399.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,18446166.0
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,18440811.0
Chica Paranormal,2r77vqSZkOktTSgmAOoHsV,Paulo Londra,18202344.0
Me Vas a Extrañar - En Vivo,3CACzG9I3AoKUKA3ODE5zW,Damas Gratis,18154156.0
Si Te Sentis Sola,2Z4VK9otSeq3MxWcEgptUa,Duki,18106946.0
Duro y Suave,31M5m42C3EGlbydf9XB5to,Leslie Grace,17181498.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,16844273.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,16747778.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,16181984.0
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,16127918.0
Condenado Para el Millon,5UjhWsB5rddZEPlNUcGDLV,Paulo Londra,15835480.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,15816031.0
Hijo De La Noche,2p1AlnJxp15v7ohNuLwjbl,Duki,15720199.0
EL BAÑO (feat. Bad Bunny),2vvdTrdryjsl8DmPIMDWZU,Enrique Iglesias,15667651.0
Quavo #Mododiablo,7HLHYxRkEAWr90BGYxk15F,Duki,15204276.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,15040141.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,15030908.0
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,14551322.0
