Track Name,spotify_id,Artist,Streams
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,40877011.0
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,39740592.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,32611181.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,29516880.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,29055041.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,28170439.0
Hipócrita,6XBjCetHKdO5L9cwMDVffw,Anuel AA,27491023.0
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,25984415.0
Duro y Suave,31M5m42C3EGlbydf9XB5to,Leslie Grace,24951778.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,23796855.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,23163524.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,22835549.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,22425874.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,21907973.0
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,20438422.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,19827386.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,19201113.0
Toda - Remix,7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,19183550.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,18879243.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,18738383.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,18593009.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,18487689.0
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,18436557.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,18326765.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,17932619.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,17748570.0
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,17445717.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,17441945.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,16867159.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,16427026.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,15271573.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,15231484.0
El Farsante - Remix,7uYgVgRSgqluZclLS7wpp4,Ozuna,15090345.0
No Quiero Amarte (feat. Zion & Lennox),5bITfqKGaPakO1l99hOMsI,Justin Quiles,15032946.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,14715456.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,14690462.0
Bipolar,4WzsycqZkpkS48H9AAAGux,Chris Jedi,13890465.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,13819184.0
No Me Acuerdo,00EPIEnX1JFjff8sC6bccd,Thalia,13641413.0
Culpables,6q8Lb50EtqNeeJXXe8mMAH,KAROL G,13634763.0
Not Steady,42ArfZUgGo3k5btIHp08it,Paloma Mami,13507756.0
Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,13380199.0
El Gil de Tu Ex,3cUE3p7E39CzGjQoEsg7sM,Santaferia,13356241.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,13323936.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,13310072.0
3 A.M.,0yyZN5ASdrYu0XYWFzfxUu,Jesse & Joy,13264069.0
Estamos Bien,7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,12762514.0
Escápate Conmigo (feat. Ozuna),1KSqYYJFyfTecXFk9M0prc,Wisin,12709305.0
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,12632072.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,12574731.0
