Track Name,spotify_id,Artist,Streams
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,2064284.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,2005021.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,2002108.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,1992144.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,1972582.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,1879586.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,1848095.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1835627.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,1766759.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,1583744.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,1510647.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,1372176.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,1331331.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,1320169.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,1311581.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,1223612.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,1220585.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,1207003.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1147950.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,1139581.0
Cizí zeď,7nLZ336nDC44S0CCXcCBJm,ONEMANSHOW Foundation,1139576.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1112886.0
More Than You Know,71bBFbfn2OBK5QwUJSLS44,Axwell /\ Ingrosso,1083281.0
Natural,4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,1072855.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,1004322.0
Say Something (feat. Chris Stapleton),1LhMopPAallLeaeNutqbgS,Justin Timberlake,1004075.0
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,978209.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,929585.0
All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,Alan Walker,927516.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,923048.0
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,916187.0
Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,895828.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,895782.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,885973.0
The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,880230.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,877066.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,876413.0
Born To Be Yours,0kHyKhJMukHEPfeh8s7rdM,Kygo,873405.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,865301.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,858563.0
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,844971.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,836326.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,833416.0
Spotlight,6VrCmhRBFnuGKmtNfk4jDs,Marshmello,828685.0
The Middle,09IStsImFySgyp0pIQdqAc,Zedd,820194.0
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,814878.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,813845.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,805180.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,802751.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,800876.0
