Track Name,spotify_id,Artist,Streams
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,59501854.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,49673154.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,42958999.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,42795437.0
Magisch,4gnuy9VBU2GGrN60UMB79t,Olexesh,42228199.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,37156123.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,36542865.0
Melodien (feat. Juju),5d35jcJj7WjDQBOHCHPY6t,Capital Bra,35233463.0
Bella ciao - HUGEL Remix,1MFSD0AkPk8Yq7TDEhrHcb,El Profesor,35111871.0
Was du Liebe nennst,2hIY4sjfMeKwXXh2LvhrMo,Bausa,33949852.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,33244022.0
Dior 2001,2eNSyVH3sNPiAj9WpRYK73,RIN,32363995.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,31472171.0
Facetime,0oZyouBDStcJEUbTmSfys2,Dardan,30885995.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,29852950.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,29516354.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,28965116.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,28881058.0
Barking,7amMgNDcObIDkIXv4xcvc2,Ramz,28314158.0
BONNIE & CLYDE,5UtiebKGhsSce9gX1qCqic,Loredana,27067116.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,26909493.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,26728987.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,26134474.0
One Night Stand,3AXtDUSO78KrGa9Rq8rWUS,Capital Bra,25645638.0
Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,25498006.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,25493499.0
Casanova,0jB0RNZIfaihaDKNmdrI40,Summer Cem,25459436.0
500 PS,4UOXo3xWnxYdTf3sFyRaUG,Bonez MC,24990600.0
Neymar,0d0d2CuQSQDF7Q7vNhwA3i,Capital Bra,24882796.0
Neymar,7ecGSqT8Ulbzhs5QwgWGVN,Capital Bra,24726315.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,24589052.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,24374763.0
"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,KitschKrieg,24374286.0
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,23267447.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,23170564.0
500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,22880026.0
Primo,7y5chiQbuvviOYUfUmOPqo,RAF Camora,22753062.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,22446945.0
Je ne parle pas français - Beatgees Remix,0LH2h4pwiX1iY3KDuONOb6,Namika,22392236.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,22287408.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,22179133.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,21929634.0
Tamam Tamam,0Ch40WfKG9UfWmyPVEWxow,Summer Cem,21477718.0
Casanova,35lIK2q78MSgv3Abb4qAjk,Summer Cem,21268733.0
Copacabana,214Mx6MSJhtaO1uPtZGqLH,Leon Machère,21231056.0
Blah Blah Blah,0tp6mwUt99QnfY95T30Lqj,Armin van Buuren,20950849.0
Für Euch alle (feat. Samra & Capital Bra),78CLZUWhsxIDwObCKOh1fh,Bushido,20644321.0
Ohne mein Team,05Mp2UJulSttxQ4E6hQPH3,Bonez MC,20567829.0
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,20432881.0
Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,20399765.0
