Track Name,spotify_id,Artist,Streams
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,7639296.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7265061.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,6520164.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,5805967.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,5616738.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,5472162.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,5370251.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,5078367.0
Paradise,38zwkK6TtTjIW9tpYBfZ3D,George Ezra,4885076.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,4686853.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,4672833.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,4425673.0
2002,6SFStUDQZNaGPKWOx9ZiJB,Anne-Marie,4330441.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,4295538.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,4238534.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4178066.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,4114005.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,4085551.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,4065691.0
Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,4044760.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,4037433.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,3916238.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,3836856.0
This Is Me,2xGjteMU3E1tkEPVFBO08U,Keala Settle,3811093.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,3734243.0
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,3647190.0
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,3635965.0
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,3614600.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3548130.0
Answerphone (feat. Yxng Bane),1HagMz5nWk1HmevNCBOxF3,Banx & Ranx,3486921.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,3461043.0
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,3405517.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,3379356.0
17,15DwFznkBJir7AK9PyMyRR,MK,3311577.0
Breathe,6tvQzeCPwOytDlBYCIOY0n,Jax Jones,3154709.0
I'll Be There,083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,3129760.0
The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,3068137.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,2993481.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,2980695.0
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,2966893.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,2963721.0
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,2947896.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2887134.0
If You're Over Me,1oc3jna2ablnfIKLYbKujl,Years & Years,2860587.0
Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,2810237.0
Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN,Zac Efron,2753612.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,2731572.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,2725740.0
I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,2724153.0
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,2666471.0
