Track Name,spotify_id,Artist,Streams
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,343823.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,341434.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,335636.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,324145.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,302563.0
Mafiosa (feat. Caroliina),0WxiQqTcK3ZErx2mMWgtm6,Lartiste,301761.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,300849.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,296902.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,292486.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,274451.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,263991.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,254002.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,250541.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,245898.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,245534.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,225044.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,222971.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,220844.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,213498.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,211881.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,197678.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,189251.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,187888.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,182093.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,181872.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,179264.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,178974.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,178703.0
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,177421.0
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,174202.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,174023.0
Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,171071.0
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,169050.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,167611.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,166634.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,166620.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,164560.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,163147.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,157000.0
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,150532.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,149136.0
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,147096.0
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,145721.0
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,144581.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,142464.0
La même,7HK0UeyxUWJjc6ndRZVKFg,GIMS,140815.0
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,139359.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,139134.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,139035.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,137282.0
