Track Name,spotify_id,Artist,Streams
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,668224.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,646916.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,614944.0
Zemes stunda,7MSS9mAqAHHkUCa7HL0RbA,ansis,565070.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,563614.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,499455.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,494270.0
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,491757.0
I Got Love,5rwsJbBNa8SfPW4oFA1GjP,MiyaGi & Endspiel,465479.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,445048.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,425554.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,423802.0
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,417028.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,408871.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,403692.0
Salauzta Sirds (feat. Ozols),4KV9h3YlxjISNYPKw8vpkw,Dons,398268.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,380258.0
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,367799.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,363654.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,348426.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,344027.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,337512.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,337467.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,337432.0
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,330772.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,329774.0
Ogles,0xZbTUeLOIXjAHFuyZNQr2,Prāta Vētra,327667.0
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,327443.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,322079.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,321964.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,319370.0
Vērtības,2RqUeQoJYH7xVwCwz3cdI8,Mesa,316923.0
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,315826.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,311159.0
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,310100.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,306043.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,304579.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,302480.0
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,301845.0
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,298568.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,295343.0
Розовое вино,2qgUF9fPrq5ZnHY6PxZdIi,Eldzhey,292772.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,279381.0
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,277041.0
Pašu dārgāko,4b2wp2tbxlM1FkGHwHC69F,Prāta Vētra,273051.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,272399.0
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,268546.0
Falling Down - Bonus Track,0Dn40gxVCMo5TkgS8Ik18Q,Lil Peep,261431.0
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,259677.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,258779.0
