Track Name,spotify_id,Artist,Streams
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,86251247.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,79371866.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,75215904.0
To My Love - Tainy Remix,5LciLoxa1gK70yIUeoHgRx,Bomba Estéreo,69224961.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,59409519.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,59085517.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,58822640.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,57170223.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,53044072.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,52052700.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,51611260.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,48374845.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,47323853.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,46463512.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,46303091.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,46113585.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,45907650.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,44696818.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,44317783.0
El Color de Tus Ojos,1l77YWrGUp3qX3NS1rz7lq,Banda MS de Sergio Lizárraga,43712074.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,42979081.0
Culpable O No - Miénteme Como Siempre,7BwxbmYFy0l3ROHDjV2c14,Luis Miguel,41903952.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,41274878.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,41257350.0
Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,Piso 21,40877866.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,40135257.0
Ahora Te Puedes Marchar,1uKjQoh8JZj9ryuYRhpd7E,Luis Miguel,39843534.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,39661450.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,39523104.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,39388874.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,37781956.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,37737180.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,37640830.0
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,37521591.0
Amigos Con Derechos,2zDj4WjbNDmrRL6Z4YjjCA,Reik,37055704.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,35322908.0
Corazón,4lESS6vuruP6a79KWRaQou,Maluma,34682113.0
No Hay Nadie Más,3IPJg1sdqLj12kFIndaonN,Sebastian Yatra,33963421.0
Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Carlos Vives,32812126.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,32729671.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,32452392.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,32068973.0
EL BAÑO (feat. Bad Bunny),2vvdTrdryjsl8DmPIMDWZU,Enrique Iglesias,31617137.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,30975663.0
Probablemente,4prmUBle7TtAeeUgCnsc3Z,Christian Nodal,30582235.0
Escápate Conmigo (feat. Ozuna),1KSqYYJFyfTecXFk9M0prc,Wisin,30226915.0
En Donde Esta Tu Amor,3HGJyp3fbmd5ylCe3dvLiS,Virlan Garcia,29802649.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,29772011.0
No Me Acuerdo,00EPIEnX1JFjff8sC6bccd,Thalia,29495725.0
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,29355513.0
