Track Name,spotify_id,Artist,Streams
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,31555505.0
Hey Meisje,1c7Kh2uMMxG7k4QqNjjg95,Esko,26392076.0
Verleden Tijd,4kuexchmxuc5NXmokfo1WH,Frenna,25252962.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,24486689.0
Lil Craney,6mhojtIauujcoXxlGsihh1,Kraantje Pappie,23278055.0
Drama,7iQKG3ZjRF4EEhUulo514R,Bizzey,22904085.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,22770438.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,21911604.0
Djadja,3XfnssSD9HMQ9LhVOJvXTE,Aya Nakamura,21873897.0
Blijf Bij Mij,7EyvmcYx7WzeBi2cY9RmIi,Ronnie Flex,21359595.0
"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",77wz2VtAwxAwYOGTJrZBKT,$hirak,19682987.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,19078478.0
Duurt Te Lang (Beste Zangers Seizoen 2019),2rzZ0IGxgrGUAPwrWn80z7,Davina Michelle,18478835.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,18390976.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,17968376.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,17687411.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,17654678.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,17613339.0
Ze Willen Mee,2zW8y5ry4YudAPnLmagr1c,Hardwell,17512890.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,17366330.0
Loco,0DCxNJg7yquzAHORClrP3e,Yung Felix,17363322.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,17142257.0
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,17059818.0
LIT,76OfzNtY3nG5hCnh5COSjt,SBMG,17039322.0
Beetje Moe,5ncYmvTAX7RbJSvoFGrSkv,Kevin,16580307.0
wine slow - remix,4sfdFMNDcc0Aw9DuwEksAn,Idaly,16081050.0
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,Kris Kross Amsterdam,15275942.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,15246530.0
Fan,49G1QitwJ7FLFqUS8b9Onp,Ronnie Flex,15153987.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,15133371.0
Slow Down,52pYYuXAin5eK1vrrpVtYg,Dimitri Vegas & Like Mike,14608363.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,14497329.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,14399592.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,14371870.0
The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,14197145.0
Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,14154068.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,14114547.0
Catch Up,4SVyCjWq4y09yfjluEDmJf,Josylvio,14113876.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,13736373.0
Shutdown,5e7W7nBD5KG2KHCnazm1Hz,SFB,13279901.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,13161412.0
Officieel,3e0gMtgOOLGPFLzPWR7xzb,Broederliefde,13098879.0
Coño,7tXCV0UwFwBxqum6i25you,Puri,12872926.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,12822721.0
Liefde In De Lucht,3xbLeZAtP6yVnsgP3EGlie,Kraantje Pappie,12685428.0
Hoe Je Bent,2a01mRS1QctP7EvmMFoPee,Broederliefde,12459163.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,12457889.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,12452562.0
"4/5 - From “Patser""",7cAxokBbnclXF6skY38Nd9,Ronnie Flex,12417794.0
Culo,442ctQ3OBBk8aMo3Ma3wRX,Bizzey,12156053.0
