Track Name,spotify_id,Artist,Streams
Devia Ir,1ftBvRj542ol7LT1A0EtL7,Wet Bed Gang,2995411.0
Amor de Verdade,76KDy62J99FKu6ZsxMJy3j,MC Kekel,2884083.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,2494578.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,2322676.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,2207335.0
Faz Gostoso,35pucCKt28NvIK88gpEEjl,Blaya,2169523.0
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,2165164.0
Mafiosa (feat. Caroliina),0WxiQqTcK3ZErx2mMWgtm6,Lartiste,2107288.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,2020052.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,1955743.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,1929051.0
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),6u0EAxf1OJTLS7CvInuNd7,Anitta,1883327.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,1805740.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,1781965.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,1771423.0
Cafeína,37tlhZnzXdF5en96O1j93w,Dj Dadda,1742553.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,1660896.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,1597177.0
Salto Alto,3sIXzuNgN9HrC7amkEQWiP,Piruka,1583078.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,1569060.0
Water (feat. Slow J) - Single Version,58dElABzeDBwfhttWGf6n1,Richie Campbell,1566985.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,1557944.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,1556392.0
Chaminé (Zara G),53kn2KqWSG9neh5H3YQqxt,Wet Bed Gang,1548922.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,1534510.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,1514285.0
Ta Tum Tum,6etab3UBCo5GOTMZqUvRka,MC Kevinho,1492382.0
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,1468614.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,1454185.0
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,1453624.0
NÓS2 (feat. Deezy),4Pl3vnDKIJRQ1eXjeqimBR,Bispo,1416727.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,1387474.0
Água de Coco,4VXadgWrXnmHsWknVD2vgJ,ProfJam,1317214.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1295479.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,1295204.0
Não Sinto,0YC2GENi574LpUCPEHk8qy,Wet Bed Gang,1277332.0
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,1273243.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,1248565.0
Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,1238887.0
Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,XXXTENTACION,1235463.0
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,1231495.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,1230407.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1228860.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1205632.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,1205436.0
O Bebê,51HrDv54pSe1IqynORNXBd,MC Kevinho,1203354.0
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,1200666.0
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,1200054.0
Aleluia,3nOdmaNfqskNaYpBGPLDdG,Wet Bed Gang,1199841.0
Din Din Din (Participação especial de MC Pupio e MC Doguinha),78Q2gghkt8iLJ7J0Uc4QYb,Ludmilla,1191894.0
