Track Name,spotify_id,Artist,Streams
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,22644602.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,20069187.0
Mer för varandra,5GC6b6Ukc7PfwG8VfYO3ar,Norlie & KKV,18454458.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,17638315.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,17234696.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,17051045.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,16958777.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,16821831.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,16240100.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,16209041.0
Hon dansar vidare i livet,0DsMfCqOclDOvEeExl6zNY,Hov1,15902328.0
Shuffla,3bnS9O5Q9Zn9MD4Z3zDV62,Samir & Viktor,13214743.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,13141270.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,13130484.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,13046193.0
All For Love,5VGBgPVFO3e0lWz4WHYntQ,Tungevaag,12725051.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,12165409.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,11808716.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,11743490.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,11690723.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,11649666.0
High With Somebody,6IhosQhN1ayHO4XP72XFXy,Sandro Cavazza,11607991.0
Still - Recorded at Spotify Studios Stockholm,5CjIVxNTlIA1OuIAk7juR1,Hov1,11295811.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,11194988.0
Aqua Aura,468ooECb1oRgt4gGfLeAoH,Fricky,11085505.0
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,10800350.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,10446566.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,10446390.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,10416533.0
Born To Be Yours,0kHyKhJMukHEPfeh8s7rdM,Kygo,10210749.0
Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,Avicii,10160559.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,10002380.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,9860177.0
Min Diamant,5v3gBxtmgWSlTXGyytzphF,Ricky Rich,9775616.0
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,9720914.0
Sand,7CYKovD8hNKg0w902IASMi,Molly Sandén,9505264.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,9441907.0
Ignite (feat. SEUNGRI),0UMLejbZXf7YVgnfxURvVr,K-391,9381778.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,9201950.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,9091007.0
EVERY SINGLE DAY,5Ly489ABFjUgUQDXd1W2c5,FELIX SANDMAN,9037354.0
Större,05kHxnnHprpntLT6mHT78m,Molly Sandén,8967349.0
Dance You Off,0s3P5PImfDZYWIseR3b39D,Benjamin Ingrosso,8960609.0
Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,8833214.0
Positiv,1KrOTm6E95kLrOsbwutlFe,Z.E,8819394.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,8659638.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,8607373.0
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,Kris Kross Amsterdam,8599565.0
Psycho (feat. Ty Dolla $ign),65NwOZqoXny4JxqAPlfxRF,Post Malone,8584350.0
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,8540691.0
