Track Name,spotify_id,Artist,Streams
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,841312.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,763634.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,739159.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,730719.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,719219.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,666408.0
V Meste Snov,5h0qay449Zex9XSHxNuzm7,Ego,659328.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,633087.0
Vozíme,2ZkzWeBRaUDWiM1So7KBK7,Ego,627892.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,614647.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,585206.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,561564.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,556769.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,524856.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,502344.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,490314.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,489521.0
Flexim Ako Gott,3OQVYq5J8poPPdz4bwr4Dr,Ego,457592.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,453354.0
Robím To Čo Chcem,0BgPDXGfhaAXZFeROQMCxn,Ego,449978.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,427451.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,417805.0
Ideme Ďalej,6DzfYk9ABmsnihlvCsnf88,Ego,415444.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,407117.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,406338.0
Natural,4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,405086.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,403612.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,388666.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,384408.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,382643.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,381371.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,373416.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,370539.0
Láska,3WCByzRf6NHujImKIiImkG,Ego,369102.0
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,358746.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,358029.0
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,340783.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,328520.0
Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,Eminem,327994.0
Runway,7nkx7DxGFsQrhPbsGCMwGv,Ego,326065.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,325867.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,325211.0
Say Something (feat. Chris Stapleton),1LhMopPAallLeaeNutqbgS,Justin Timberlake,322931.0
Audiokniha,6tgYoMQ6r45PiY3MoQ1MmP,Gleb,318222.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,317693.0
Like I Do,6RnkFd8Fqqgk1Uni8RgqCQ,David Guetta,312369.0
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,304095.0
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,301290.0
More Than You Know,71bBFbfn2OBK5QwUJSLS44,Axwell /\ Ingrosso,299237.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,298479.0
