Track Name,spotify_id,Artist,Streams
Geceler,0R0o8uOkDz40XsR6uwThfQ,Ezhel,22202589
Heyecanı Yok,4sa0pXDdQkBZ1r5NZWQJyV,Gazapizm,16960496
Yalnız Çiçek,4CCYUYAzFBvD2omNu9EGPI,Aleyna Tilki,16760282
İmkansızım,5Y3ZTBwRNrgj3AlXYASvDe,Ezhel,15807620
Elbet Bir Gün,1PJ1BbGaVmLogYicLKoZix,Canbay & Wolker,13457367
Kazıdık Tırnaklarla,27OWNTEEtJCFVejrh5mqgv,Ezhel,13005184
Vuracak,1jCv5QxEnfPyup6Kha3hNh,Merve Özbey,12851954
Mary Jane (Radio Edit),51agJccRxKI5dqGJFkTojo,Burry Soprano,11827956
Şehrimin Tadı,5JaXKUIcNxwSuUyD4CsphL,Ezhel,11611570
Sen,4D0VkzOK8b4fzaCDX0KvGl,İdo Tatlıses,10720769
Yanıyoruz,2BJkinM7TmdcsDGNvmZds8,Burak King,10644294
Hiç Işık Yok,2noHL0PeH7WjRSLBjWxU4Q,No.1,10615544
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,10585865
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,10173174
Pavyon (feat. Ezhel),1ilFULm3dQtAPMpNIQz5RJ,Artz,9509393
Bu Benim Öyküm,0OyfyAIHIdERPduy0omDj4,Eli Türkoğlu,9418065
Dinle Beni Bi',11PO9iu6PtpgL1JK4QNUEJ,Yüzyüzeyken Konuşuruz,9266771
Alo,3hdXIz9eY9u5QoEUkBs5yN,Ezhel,8822329
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,8645723
Suspus,1JvUmKSl9Mg6mQnmbjLYyz,Ceza,8516691
Bazen (feat. Emel),6qkXhA5mVvG1DLyliRS1Yf,Ezhel,8270338
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,8203613
Ne Farkeder,23KSyhPMqyUVrrLo300YiW,Yüzyüzeyken Konuşuruz,8124836
Lafügüzaf,3pZDZloBhUwlKA5O6JzXXa,Gökhan Türkmen,8090891
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,7953149
Bileklerime Kadar Acıyo,5MS3WBYfG0ESHzc6WnB9aZ,İdo Tatlıses,7897751
Ben Bazen,27lKzu8eKwNUxtTUvSDpBN,Simge,7701900
Bodrum,7DarbtpxRUG5POF3ifwu61,Yüzyüzeyken Konuşuruz,7638214
Kalbim Çukurda,4JGbgwywXpX5CYHwq1VT1S,Gazapizm,7600809
Öyle Kolaysa,4VUqgwjcye1knvDU7xyLBK,Mabel Matiz,7460907
Yak Yak Yak,4GjIoWGPLf7C8LcjK1UNlS,Şehinşah,7446135
Kibir,5EzaGJdyyvIekeLFdWA7iY,Contra,7426908
Gömün Beni Çukura,5dLtu0lS5pP9ivMerk3uMA,Eypio,7416845
A Canım,6GxaMyQYnqqASQKNYY4Tub,Mabel Matiz,7396997
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,7196862
Yalan,1qCjcG3qbzUxdA0wt1Zvea,EDIS,7182914
An,4ffl5sr8fDkNhjCSsxXNe8,EDIS,7090991
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,6984371
Beni Vur - Akustik,3CPBzUohQI0fVoFFMSZouO,Deniz Tekin,6900833
Tamam Tamam,2eRq2jwsZtb0uGH4qUsvT1,Summer Cem,6731218
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6540409
Bir Derdim Var,5oecOcmSEHs7MZiB0NPbFu,mor ve ötesi,6490221
Beni Sen İnandır,1rY4UYyZ3PcuYgWIddkcnL,Pinhani,6448989
Sandal,7ouMGV7ScnMUGXKFGAGjXe,Yüzyüzeyken Konuşuruz,6426875
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,6418261
KAFA10,7fUGWMgLzsVdID1eKoPm3b,Anıl Piyancı,6393041
Roman,1GeGwhJSkJGQLeZ7mdvDdm,EDIS,6244294
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,6116120
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,5977201
Catla,7xLuitKqUvy1854AiGaLY0,Velet,5974039
