Track Name,spotify_id,Artist,Streams
體面(電影《前任3:再見前任》插曲),7cE5ehlKJ3L9Ejhzm3udcF,Kelly Yu,4674404.0
追光者 - 電視劇夏至未至插曲,66LKcDWIHdqWEaviZhcMTx,Yoyo Sham,3706262.0
幾分之幾 - 電影<花甲大人轉男孩>主題曲,4F7ZAsndEIJXyFzJUHNlRu,Crowd Lu,3629693.0
浪子回頭,7J6wLr8qRqLPMeOZlR54NM,EggPlantEgg,3612679.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,3270873.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,3178238.0
魚仔 - 電視劇<花甲男孩轉大人>主題曲,2sb6AZQLeoD3VgA4zglQB6,Crowd Lu,2989228.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,2839049.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,2833739.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2765000.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,2723576.0
如果雨之後,6kabSi7XCHHGThNme6J2tL,Eric Chou,2595672.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,2517208.0
慢慢喜歡你,7EoyERNueJuFlQbyrRB0US,Karen Mok,2502407.0
浪流連,2GJ9TC1R5yzZ2gYPKGPGyp,EggPlantEgg,2487871.0
演員,6LunoYd3xpZ19sICOXS8Xd,Joker Xue,2438903.0
說散就散,3CE1HoJJ0FVKo7JHsWIuvC,JC 陳詠桐,2423006.0
言不由衷,3AIvgFB3YTo349ZlcfOnOo,LaLa Hsu,2287508.0
我們 - 《後來的我們》電影主題曲,0Uf0SvwUrf02ucIt1d0Wos,Eason Chan,2271321.0
刚好遇见你,262Q20zX8BmAOIA6cFB2t9,Li Yugang,2265015.0
飄向北方,5mS0BGxAAebA3amJg6LkVk,Namewee,2248592.0
The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,2189595.0
連名帶姓,2HVlPD7l46qVItJl26XsLi,A-Mei Chang,2123990.0
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,2115861.0
倒數,2HmM5p02Q2qrYZvXJRLVx3,G.E.M.,2106426.0
光年之外 (電影 《Passengers》 中國區主題曲),1bkvGbgK4HU8B7Ue4k7O7I,G.E.M.,2103035.0
All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,Alan Walker,2100237.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,2063691.0
我還年輕 我還年輕,5o48kuQnPwhuRAzO2t0bCU,老王樂隊,2047947.0
青春住了誰,0JddqUycMUJv6IoOzwUCVG,Rainie Yang,2025917.0
讓我留在你身邊,07MNtfddtgCo6VrUm3O9dw,Eason Chan,1993931.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,1941195.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,1927679.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1820832.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,1803462.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,1783307.0
偉大的渺小,1P2RxojrM3KEoKgM7pbc9i,JJ Lin,1771984.0
FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,BTS,1765077.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,1755389.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,1753830.0
連名帶姓,4a5FvWpFaCs3YOzEnnpgR0,A-Mei Chang,1752634.0
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,1728183.0
"說散就散 - ""前任3: 再見前任"" 電影主題曲",1YfDfk1s3U1iexGila4UC2,Tia Ray,1718344.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,1711167.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,1711028.0
買榜,67LTN04r77CavIkE7dc4tF,Kumachan,1690865.0
失落沙洲,4vBoopG4WzohMju1GUmwoi,LaLa Hsu,1678887.0
Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,1640973.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1623751.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,1621427.0
