Track Name,spotify_id,Artist,Streams
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,2683636.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,2555587.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,2526476.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,2043298.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,1972545.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1950124.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,1886780.0
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,1813493.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,1771696.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,1725608.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,1685926.0
Toda - Remix,7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,1649582.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,1648082.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,1586761.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,1581690.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,1492059.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,1461819.0
Duro y Suave,31M5m42C3EGlbydf9XB5to,Leslie Grace,1460168.0
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,1451946.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,1446253.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,1416802.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,1392227.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,1363643.0
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,1343840.0
Me Voy,22sESxzbY1O1E19xjOTaYf,Rombai,1337665.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,1313102.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,1298060.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,1289813.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,1272110.0
Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,1235657.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,1200063.0
EL BAÑO (feat. Bad Bunny),2vvdTrdryjsl8DmPIMDWZU,Enrique Iglesias,1169285.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,1163153.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,1150856.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1149349.0
Corazón,4lESS6vuruP6a79KWRaQou,Maluma,1071310.0
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,1065069.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,1053851.0
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,1048673.0
Mi Mala - Remix,6kOHug1s9Nd5gsHrX8irs2,Mau y Ricky,1047591.0
Mi Cama,7sFYVcKSb24qg0dAkqLEFj,KAROL G,1046283.0
Amigos Con Derechos,2zDj4WjbNDmrRL6Z4YjjCA,Reik,1043356.0
Vete,2rZB6indPhp8C5AZK1PpkS,KHEA,1041325.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,1013347.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,1011442.0
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,998970.0
X (feat. Maluma & Ozuna) - Remix,6JjPBQfI2Y8nIjnm65X6Pw,Nicky Jam,994096.0
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,974190.0
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,972864.0
No Quiero Amarte (feat. Zion & Lennox),5bITfqKGaPakO1l99hOMsI,Justin Quiles,963287.0
