Track Name,spotify_id,Artist,Streams
Vou Ter Que Superar - Ao Vivo,6sRLrSetyIwIKhW1eMlUNP,Matheus & Kauan,94218961.0
Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,93928879.0
Cobaia,1xyVMQx51Kab6eLVtE6twx,Lauana Prado,91657761.0
Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,89926177.0
Tijolão - Ao Vivo,6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,89448629.0
Atrasadinha - Ao Vivo,5EKHbW7mXcAR4hCyS3YXjb,Felipe Araújo,85948714.0
Solteiro Não Trai - Ao Vivo,7oEr56KG6odStlQH0nvdyr,Gustavo Mioto,84439580.0
Quando a vontade bater (Participação especial de PK Delas),26WpOBpHiIMoBuMEIwtOCH,Pk,83567892.0
Estado Decadente - Acústico,4eB8rsNNm5791m3uvEBNLR,Zé Neto & Cristiano,82907432.0
Cem Mil - Ao Vivo,5eMmT4Ava5BGThju0AD8vQ,Gusttavo Lima,82538976.0
Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,79154387.0
Quarta Cadeira - Ao Vivo,5q0NlM6Pm8Pp3orq7zGiRn,Matheus & Kauan,76625764.0
Evoluiu,0WhDotK0QXigmsrlw0DxKK,MC Kevin o Chris,74211454.0
Bebaça - Ao Vivo,6YjyT6MEMsMc41NNWk2dYg,Marília Mendonça,71318407.0
Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,MC Kevin o Chris,68654945.0
Lençol Dobrado,5pRGXCDY0eT6R1QicAn7Uk,João Gustavo e Murilo,68390620.0
Ouvi Dizer,1qCLx3nX25NuhfPjM5E1qV,Melim,67743582.0
Hoje Eu Vou Parar Na Gaiola,0IQCOAw9ZAI6WnXIrl481F,Mc Livinho,66981507.0
Péssimo Negócio (Ao Vivo),5MMrkwK6AgNAsgHVdC7daZ,Dilsinho,66535355.0
Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,Tropkillaz,66289377.0
Espaçosa Demais - Ao Vivo,4lEw9Id7kLDSJ6KRdaenM9,Felipe Araújo,65786898.0
Infarto,0XEJ7eph2IWFYZc73Jm3n2,Diego & Victor Hugo,65646189.0
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,4gDvg62vG96w0qJaF6wzcd,Diego & Victor Hugo,63924358.0
Quem Me Dera,2lAyctg5FocS67eksHoyIg,Márcia Fellipe,63170819.0
Não Abro Mão - Ao Vivo,3L2uyIJoJPjYkSETVNSPBQ,Maiara & Maraisa,62695883.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,62470020.0
Supera - Ao Vivo,3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,62037037.0
Poesia Acústica #6: Era uma Vez,13Rf6RaZT13TW4xLQR3MQr,Pineapple StormTv,60400963.0
Posto 24h (feat. Wesley Safadão) - Ao Vivo,3mNmUjoDHYDYj08IaRPtg0,Lucas Lucco,59150213.0
Gaiola É o Troco,3Uq45ipGutypFPmETfaoaH,MC Du Black,58016092.0
Meu Abrigo,5U28PY9MekLyCBYtLHGQpe,Melim,57742032.0
Ferida Curada,1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,57389389.0
Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,DENNIS,57235672.0
Vingança - Ao Vivo,7KdcbYcVF8LkQeQcTYOixJ,Luan Santana,57158226.0
Onda diferente (feat. Papatinho),2H8ETIUEoN9YMf56X66bxd,Anitta,56629419.0
Sem Sal - Ao Vivo,0EZuXcsnjEmGuRYdFdcctX,Marília Mendonça,53989965.0
quando a bad bater - ao vivo,5gvrBqNFFEWcxYPt3mamvJ,Luan Santana,53065218.0
Ciumeira - Ao Vivo,7D5F5BzIon5zhzQrOU2pdN,Marília Mendonça,52700894.0
Hit Contagiante,5dKesZwp6deuhEeW8F1UEi,Felipe Original,52485285.0
Lençol Dobrado,72xB2J9ZeBl0Rzxq2XmzdY,João Gustavo e Murilo,51883262.0
Sentou e Gostou,6V43u5SCjkfMpxMAXRPifr,MC JottaPê,51519678.0
Serenata - Ao Vivo,5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,50828235.0
Algo Mais (Amante) - Ao Vivo,4jGzR5Vri06Y5T9SxM7m5P,Xand Avião,49476108.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,48107775.0
Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,MC L da Vinte,47877838.0
Vai menina,1oQppEGTHYN53xfEaTz4ua,PEDRO SAMPAIO,47608093.0
Deixa (feat. Ana Gabriela),3fLqmaO4vvZpFZSZy52VMp,Lagum,46797169.0
Malemolência,5rwdmpN5eMWIIwK4R96vv1,Dynho Alves,46789215.0
Dona de mim,0H8CBal2Dcu5Yc001VotZN,IZA,46755507.0
Surtada - Remix Brega Funk,5F8ffc8KWKNawllr5WsW0r,Dadá Boladão,46727807.0
