Track Name,spotify_id,Artist,Streams
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,8194052.0
Ikuinen vappu,3Pakcg38hbn3d3YZYRQ7LE,JVG,7839552.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,6929383.0
Harmaa Rinne,4RYtaqxjDJUOY2GrtkLTFf,Teflon Brothers,5763516.0
Surullinen Klovni,5kqPqNBnMgRONrnlBA8qMl,MKDMSK,5575358.0
Suomen muotoisen pilven alla,2lvZlCIDkDHWc2Q9Y51GUJ,Arttu Wiskari,5416616.0
Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU,JVG,5330323.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,5320202.0
Muistuta mua,5XPxQRtCa8FHfrO8mzutAq,Pyhimys,4837912.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,4748281.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,4731235.0
Silmät,1rYP6R16sM0uSlxrqzR5pM,Gettomasa,4658923.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,4585895.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,4537010.0
Frisbee,7otEY2LI040OFwOfiFX3LL,JVG,4386090.0
Lokin päällä lokki,4Sk3IcLo2nDenuBs8JBWBg,Apulanta,4380447.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4354918.0
Jättiläinen,3bEc0e8OHd73jfhSjXMoKb,Pyhimys,4225917.0
Lennokki,4QA34AuEjmEhTIxkXN7yYu,Mikael Gabriel,4112115.0
7300 päivää (feat. Erika Vikman & Danny),2uDj5Xr9DEsXq7NR3Wtfmw,DJ Oku Luukkainen,4084826.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,4020382.0
Äänii,7qCT0FQxJYTzpUyoC10GEQ,Mouhous,3927707.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,3888137.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,3849097.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,3766058.0
Kalenterist tilaa (feat. Evelina),5KDPlTtsvctLnM8oPMDGV2,JVG,3711749.0
Hei rakas,0tc8HGXosQDC8TTAaON1TP,BEHM,3682777.0
Esson baariin,2SNZVqgDiiuOUe2qPOW1m1,Poju,3677606.0
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,3658236.0
Palavaa vettä,2UahjeHfrDFq39DWPHvvyN,Lauri Tähkä,3609495.0
Muijii stadis,73k0C3PXEpwbFbgIrXL55i,Gettomasa,3527020.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,3393574.0
Edelleen Edellä,72nkkzVRNM4QFqtndfdPtn,MKDMSK,3386905.0
XTC,17OUBczN4xbjuCDcx0xmXL,Lukas Leon,3314358.0
Don Juan (feat. Danny),0fljXRHHke69eOwJdzX0bQ,Yksi Totuus,3286143.0
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,3213185.0
Mitä sulle jää (feat. Ilta),2K7kTu0pI07RoWgwofGzSD,Pikku G,3211281.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,3174262.0
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,3144035.0
Sinä 4ever,2hnE2vPfcP5iJeyJUbb45n,Ellinoora,3085465.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,3026471.0
Pidä pää ylhääl (feat. Reeta),5MbDEe6OHY5vhdpOnLUF9P,Roope Salminen & Koirat,3002690.0
Pantomiimi (feat. Jenna Alexa),3QXGTfSo23CBfI0KShmIm3,Pikku G,2935173.0
Rooma (feat. Etta),7G5eTRWBH38iiRIEBRgW2d,Lukas Leon,2880333.0
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,2836126.0
Japanese Drip,1z4jCtA9thODROr8aMdcyP,Kube,2831721.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,2829029.0
Muijii stadis,2JjDXcC82gp21CV2WxP10k,Gettomasa,2821899.0
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,2818227.0
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,2803443.0
