Track Name,spotify_id,Artist,Streams
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,3059087.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,3047177.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,2594641.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,2477054.0
百年樹木,5ql4tlxS3GtADNsSRi2GnW,Hins Cheung,2181346.0
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,2133057.0
春秋,2WVbMoHdWCspdiEa7OnG1D,Hins Cheung,2045246.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,2000513.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,1898986.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,1891480.0
Kill This Love,4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,1873046.0
告白氣球,1ivCIgrYZyE0BvItL4Z8lk,Jay Chou,1762749.0
說好不哭,56wVfJKtnwlSZtC4NVgIrf,Jay Chou,1726512.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,1726509.0
心之科學,1gVMd7oYGo6Whlgg7pAa7M,Joey Yung,1689766.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,1660065.0
櫻花樹下,2FgDWCqMCIAATvqr9ozeYm,Hins Cheung,1658355.0
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,1628358.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1611853.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1608543.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,1603912.0
等你下課,76WthWB0v0KXUHZoAclMVV,Jay Chou,1599036.0
Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,1581149.0
你瞞我瞞,1eId3TVzGrwv73YAWAVQMX,Jason Chan,1555885.0
其實寂寞,4qOQcgfSAV2XuoJ55TYSaS,Kay Tse,1515345.0
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,1491560.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,1491065.0
說散就散,3CE1HoJJ0FVKo7JHsWIuvC,JC 陳詠桐,1488873.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,1484594.0
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,1481143.0
龍舌蘭,2yJuzhRAp75De9QFcR0qXl,Eason Chan,1476603.0
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2gug6MRv4xQFYi9LA3PJCS,Eric Chou,1458867.0
囍帖街,3hU9nGBhYJQwvF8BJ4PUcE,Kay Tse,1457465.0
我們都是這樣長大的,37gQxPrcu81gpr5SbOlIJO,Sammi Cheng,1456148.0
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,1450954.0
2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1423073.0
心淡,0Eum5dQqpUDgwJiUucG3QU,Joey Yung,1409741.0
後來的我們,13AruKdh8wJhWx6i5dV8X1,Mayday,1400211.0
未來見,5OPqZ5dEqrdPGatJgnZ8xG,RubberBand,1385278.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,1358121.0
可惜我是水瓶座,1sWUT5hSawhEctQEQrVQdn,Miriam Yeung,1353719.0
歲月如歌,209lkexhDOdjGJMv9iw3rJ,Eason Chan,1349991.0
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,1347981.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,1345314.0
突然好想你,0IAgufC1FlOg1nZMmRZxRr,Mayday,1344772.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,1336547.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,1335251.0
命硬,47RgWWTJno746wCInL4gQz,Justin Lo,1326705.0
漸漸,1o5PE9VNUd8EJtcYLA3QxP,Eason Chan,1325365.0
羅生門,7xAVLrbnud6OrU6f4FmxDr,Juno Mak,1299255.0
