Track Name,spotify_id,Artist,Streams
Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,2578457.0
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,2387182.0
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,Sech,2190047.0
China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,1940838.0
No Me Conoce - Remix,4R8BJggjosTswLxtkw8V7P,Jhay Cortez,1923909.0
Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,1815114.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,1786654.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,1728294.0
Secreto,5W83ErFkO3aKAIS1WMi6u0,Anuel AA,1713647.0
Te Vi,059bcIhyc2SBwm6sw2AZzd,Piso 21,1555800.0
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,1464642.0
Amanece,1LiN0Z98FkR1t0m8KmLcAH,Anuel AA,1411276.0
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,1276992.0
Pa Mí - Remix,7g8YaUQABMal0zWe7a2ijz,Dalex,1273780.0
Que Mas Pues - Remix,7fODjB7BrQTGqh0hogW6XD,Sech,1261812.0
Si Se Da,5KbBGUpIZd6gVFUU8tqYiQ,Myke Towers,1240943.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,1215245.0
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,Dalex,1209159.0
Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,1150580.0
Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,1037026.0
La Playa,0jeS8PyyIRAG0A3t5DtL71,Myke Towers,1022715.0
Desconocidos,56f5qnyAlZdlz8wrUDA50h,Mau y Ricky,1012485.0
Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,Anuel AA,989979.0
Tutu,1nocRtwyNPVtGcIJqfgdzZ,Camilo,982045.0
Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,Tainy,979576.0
Adictiva,6MJUCumnQsQEKbCy28tbCP,Daddy Yankee,975280.0
11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,965354.0
Solo de Mi,4uP3pUP18ennmz0tb3GphR,Bad Bunny,961434.0
Ni Gucci Ni Prada,32lexhcz93AinKK0qLTZaZ,Kenny Man,939314.0
Solita,0tJCo71s7HT9Mu5Z4juuLw,Sech,929046.0
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,918577.0
Bubalu,7dNwJbsT0sg1le5kVugGJb,Becky G,884102.0
Rebota,2YRvdf9cdS88y1wB1WhKoE,Guaynaa,879272.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,835002.0
Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,Bad Bunny,825624.0
Tal Vez,5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,821178.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,761130.0
Baila Baila Baila - Remix,7mWFF4gPADjTQjC97CgFVt,Ozuna,741610.0
Fantasias,6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,729241.0
Caro,6it15CsDlkqB7N4lF0C1qM,Bad Bunny,728825.0
RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,Black Eyed Peas,718455.0
Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,Myke Towers,711773.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,700728.0
NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,Bad Bunny,690836.0
Que Le De,08aYFNUTIOMGq93e2VSArQ,Rauw Alejandro,687543.0
Tusa,7k4t7uLgtOxPwTpFmtJNTY,KAROL G,686183.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,680708.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,679759.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,678359.0
Aullando,7BuHdm4lQqcyG3qTwdkxus,Wisin & Yandel,677652.0
