Track Name,spotify_id,Artist,Streams
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,3285440.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,2961461.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,2162459.0
Olyan Ő,0GsltzHgCGCiQvskZggDDj,Bagossy Brothers Company,2085761.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,1935272.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1899225.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,1787815.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,1698013.0
Yaay,4gY9fdFTRmdyXKTmxRa4oI,Bsw,1489926.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,1470442.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,1430512.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,1373839.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,1352597.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,1348565.0
Amikor Feladnád,5pZDYdwuEWlCT2Rs7mNyvW,Halott Pénz,1260829.0
Füttyös,6bsERSsjVL4Cpt0e2t77Vx,Majka,1253460.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,1238308.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,1220813.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,1195343.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,1152870.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,1151119.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,1144831.0
Meztelen,2dsbdPTyFRLJzJsgv8RISq,Majka,1121518.0
Nem tudja senki,1YO5hgAhxTRErZKKWyrMnu,Follow The Flow,1116255.0
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,1098959.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,1090852.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,1086779.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,1080095.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,1076209.0
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,1064389.0
Say My Name,0YammaEkYSeo9vQYZ1OwS6,David Guetta,1056738.0
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,1050645.0
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,1049143.0
Messziről jöttem,4pM0ZrNCyFwXrQ8nPfb6v1,Manuel,1007552.0
Believer,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,1005699.0
bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,1004384.0
Solo (feat. Demi Lovato),3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,1002880.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,1000132.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,979933.0
when the party's over,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,964038.0
HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,944510.0
Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,Queen,922270.0
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,915231.0
Natural,2FY7b99s15jUprqC0M5NCT,Imagine Dragons,911892.0
Maradok távol,14b5S9m1tvXKEiSWAdw62r,Follow The Flow,911184.0
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,904082.0
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,Lil Nas X,900997.0
Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,890641.0
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,873914.0
Hol van az a lány,5qmqZ2Fh9dHhDT82afD08n,DR BRS,872231.0
