Track Name,spotify_id,Artist,Streams
"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",45zJRuzK9e6AO527NOW7Fy,Charlie Charles,63038916.0
Per Un Milione,5L1HQLXeih82ecmY0tOH7w,Boomdabash,55855885.0
IL CIELO NELLA STANZA (feat. NSTASIA),2fkVZYFv9hOejIsLzZy8ad,Salmo,55572660.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,50983147.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,48589412.0
YOSHI (feat. Fabri Fibra) - prod. Strage,3Hh0ZcGIqIkSiJVZGLcVLx,MACHETE,46491121.0
Lento,0iRKVjfQzpr41T3WsU7shl,Boro Boro,46216150.0
JAMBO,4H5arInh2BLVz94mIibTrv,Takagi & Ketra,45729616.0
Ostia Lido,2J9TGb5CRT4omfAgnKmXn5,J-AX,45453016.0
Soldi,4szQkW1CDHqbRZGltXJdd3,Mahmood,44501533.0
Mademoiselle,2aPnpV1hT7l3eP10uSGK6c,Sfera Ebbasta,44011403.0
Dove e quando,5BAJMdCQqax0oBQigQTl5h,Benji & Fede,41881977.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,40500170.0
È sempre bello,6IdiuMw1FSAvU3e6bgWQVX,Coez,40354944.0
Chiasso,4UJoAdTMnqxQHKWKLLQpvK,Random,40197355.0
Stamm Fort (feat. Sfera Ebbasta),7iTTQvztpfrDneVSX9IGBD,Luche,40005951.0
Mambo Salentino,7piIo15vVy3ULGXSpFs5xc,Boomdabash,39565225.0
Una volta ancora (feat. Ana Mena),6gaeewGjNiQhWOUkWRSLTa,Fred De Palma,38832590.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,35385883.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,35254605.0
90MIN,3Ls9yKzshQye18Tx2AvOb6,Salmo,33269982.0
Look Back at It (feat. CAPO PLAZA),34Jnbbi34tPtYdutY5Pd6G,A Boogie Wit da Hoodie,32825610.0
Arrogante,14lgKkkbNsJl9fItqnEfpV,Irama,32289322.0
Playa,7bBIBrSmHvdMlTC7b9p8Vq,Baby K,30744058.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,30584182.0
MARYLEAN (feat. Marracash) - prod. Low Kidd,28fRkU3vhqAJdl9i9458pQ,MACHETE,30477189.0
HO PAURA DI USCIRE 2 - prod. Mace,0nFCpnM7nistUWXRZpzOWM,MACHETE,30470324.0
Rondini Al Guinzaglio,1jhHPnmgZepKU8qX4VhRZ0,Ultimo,30226359.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,30074481.0
Senza Di Me (feat. Venerus & Franco126),3xGD5KhnizETt7KQwxtUAc,Gemitaiz,29946995.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,29678063.0
Cascare nei tuoi occhi,60oJSn5MTG2VNvCJKwd65M,Ultimo,29409030.0
Piccola Stella,6sLBJkMyZIkGevtpYgeotT,Ultimo,29324262.0
blun7 a swishland,7HwvPmK74MBRDhCIyMXReP,tha Supreme,28833290.0
Pianeti,2w5wtWq30yTkNSG9YjMFvW,Ultimo,28487954.0
La hit dell'estate,443cnFF139Ql85enXOTWEu,Shade,28363444.0
Domenica,2tVNMtgZ2CQpTx7vgcuTkL,Coez,28137084.0
Margarita (con Marracash),3qBtltssunsFuzn6DxXI0b,Elodie,28099989.0
La ragazza con il cuore di latta,0NmyHZZMfVBiUSOfDmz9Bf,Irama,28010765.0
I Tuoi Particolari,0psAGFzUF64N2Ae4gMExzu,Ultimo,27732935.0
Senza farlo apposta,55t2S1tpx1Bj3C5bIEn2BF,Shade,27550305.0
Ti volevo dedicare (feat. J-AX & Boomdabash),00GxbkrW4m1Tac5xySEJ4M,Rocco Hunt,26715408.0
48H (feat. Sfera Ebbasta),05mrU7mN3c1822bpY58UBC,Izi,26660240.0
2% (feat. Frah Quintale),5ODlTG5qxhCsC05E36Rv25,Guè Pequeno,26505845.0
Fuoco e benzina,4Fs1sEg9Mwn6vykFD89xvc,Emis Killa,26185857.0
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),020wG4EHTwBy5h2rbpxqvK,Marracash,26096033.0
Cin Cin,0EThQdS5hqhByp2CLttKin,Alfa,25985468.0
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,25775209.0
Maradona y Pelé,3xALgUxUFNYIrbMew1sbnC,Thegiornalisti,25316829.0
Veleno 7,3fV9z98dnQLSIPIMMJXCm7,Gemitaiz,24933908.0
