Track Name,spotify_id,Artist,Streams
マリーゴールド,2cKiHG16JBiqHdi7Llq0r7,Aimyon,22853378.0
白日,0mNO3xUzjsI17GXO1DRFCH,King Gnu,18609505.0
君はロックを聴かない,59eluCMn0XbOWqeWQ91FTM,Aimyon,16415278.0
ノーダウト,5DMEvbg3gUmiR5HIBWdveV,Official HIGE DANdism,15758423.0
Pretender,58dxGXavrcagRqA58fNB0Z,Official HIGE DANdism,15487760.0
今夜このまま,6kKvmT4i0Dercz6f3kftg3,Aimyon,13824643.0
さよならエレジー,0QKmcZNAST4GytJYmkN05D,Masaki Suda,12985550.0
HANABI,77lmDcPPyY6kK907gdgC6i,Mr.Children,12395802.0
高嶺の花子さん,2jdbZGFp8KVTuk0YxDNL4l,back number,11825385.0
宿命,2yozZfRYHP7Elsymghu5t3,Official HIGE DANdism,11784401.0
打上花火,4IouQaO9GkaHC7AtMErdSa,DAOKO,11590112.0
366日,22aZD7yaGYfhgCYazL4nbc,HY,11509865.0
まちがいさがし,4Jj31lihp5Nvdi4lFRjrqc,Masaki Suda,11431577.0
小さな恋のうた,7swIKcU4tFRk4iFJpi12Fg,MONGOL800,11270933.0
ハルノヒ,7GYGVDPbi0zQUBIkuOPAY0,Aimyon,11180435.0
愛を伝えたいだとか,0N8Xztr4pBHJ7V0moJWhbO,Aimyon,11132583.0
ワタリドリ,0ve9Tpz8Yw0I4eXhWsy21o,[Alexandros],10980238.0
Pretender,5LkWXxDxUTwEVHL0pfKL55,Official HIGE DANdism,10618870.0
クリスマスソング,5P8ZvBQoCrujjNcLAxO3Su,back number,10406865.0
愛をこめて花束を,7CmWXD3w1xOO53AAO4LRVQ,Superfly,10346317.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,10026473.0
愛唄,7iXHLtPosbHvglVSJ4rxLq,GReeeeN,9851386.0
115万キロのフィルム,278JqkBGkjDovOYAwE8TW7,Official HIGE DANdism,9724445.0
ハッピーエンド,0ssEfLe9aqPhMmLXKqBw6J,back number,9714590.0
奏(かなで),5RbMlPFL4gVyEHW2lEOuzG,Sukima Switch,9106312.0
新宝島,6ODZT1FGTE2q4two05giS1,Sakanaction,9049488.0
イエスタデイ,3S3DDZrPOYTirleXRyHnNM,Official HIGE DANdism,8827058.0
トリコ,7H5uStZMOGpcVw7eW0eyTi,Nissy,8788749.0
鱗(うろこ),4IubwxgmXeZtDtYjTaT9gN,Motohiro Hata,8655035.0
貴方解剖純愛歌〜死ね〜,2H3bOGOE50qEo5wAYoJiwL,Aimyon,8607360.0
恋音と雨空,46gSY0U7ZZCmd7EuJuo15N,AAA,8296866.0
ただ君に晴れ,3wJHCry960drNlAUGrJLmz,ヨルシカ,8009463.0
ひまわりの約束,45jGOHwYKgsRYbAJ8DR61d,Motohiro Hata,7570240.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,7432340.0
Wasted Nights,39LyUQIy7idLxPdsjyZsxe,ONE OK ROCK,7322703.0
Story,0V2axJ946WH1vt9t5SGMLV,AI,6980563.0
パプリカ,0bdYJCO9clK9ew61Z7GqMf,Foorin,6825884.0
君に届け,0kA7SWxWPYqSyIbMl51X5b,flumpool,6752659.0
アイノカタチ,76flsS3UnNr7UQIz6JmVT3,MISIA,6653010.0
Wherever you are,7a7EIFzJLd7lcDRgThMQgm,ONE OK ROCK,6618722.0
キセキ,7ztdl6cnbJgHRdMkKldkts,GReeeeN,6590598.0
青と夏,0a3587n25Xhw098UeEbeJq,Mrs. GREEN APPLE,6580311.0
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,6520505.0
飛行艇,68KMKHen3fHDgD8z1aBWCK,King Gnu,6394907.0
U.S.A.,5HXCP7b8k64WdZ1G0Bbc13,DA PUMP,6353390.0
Stand Out Fit In,4zXRMjTaeflesB3Ih4eHnJ,ONE OK ROCK,6292200.0
My Boo,2gasr6aemUqZIBBN05EO03,Shota Shimizu,6130815.0
Kimiga Kureta Natsu,4bK6qPvD4xB8npRkZa1a55,Leo Ieiri,6068343.0
満月の夜なら,7DW5Dro8AHE7x19COl26E3,Aimyon,6063446.0
Stand By You,7MhJmtlNl6R0oppdG59CaI,Official HIGE DANdism,5970329.0
