Track Name,spotify_id,Artist,Streams
Kung 'Di Rin Lang Ikaw,2BgD4nRyx9EZ5o8YEnjRSV,December Avenue,49682853.0
Sana,1X4l4i472kW5ofFP8Xo0x0,I Belong to the Zoo,48367698.0
Maybe The Night,1yDiru08Q6omDOGkZMPnei,Ben&Ben,39028132.0
Kathang Isip,3WUEs51GpcvlgU7lehLgLh,Ben&Ben,36757273.0
Ikaw At Ako,0gDRtumoR9ZrvAlnniToMz,Moira Dela Torre,36462577.0
Pauwi Nako,2tzAN1L07SNwnOdgOEeuQr,PDL,36024250.0
Buwan,5f9808hpiCpuNyqqdXmpF2,juan karlos,34592874.0
comethru,18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,34466516.0
Sa Ngalan Ng Pag-Ibig,00mBzIWv5gHOYxwuEJXjOG,December Avenue,34345475.0
Sa Susunod Na Lang,34ob61cxp34Sf7KHK6RnSU,PDL,32745071.0
Pagtingin,5l9g7py8RCblcvbZgGQgSd,Ben&Ben,31979805.0
Bulong,5nMKJJ5Rl6X1yn58aVeICO,December Avenue,31656546.0
Balang Araw,5NXdUJ3Z2jhlp2u1cj6f7m,I Belong to the Zoo,30231014.0
Love Someone,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,29641268.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,28843261.0
Malibu Nights,0Eqg0CQ7bK3RQIMPw1A7pl,LANY,27797231.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,27098575.0
Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,26993193.0
Zebbiana,6IdEQ3HUseBeRUYFSzSMdL,Skusta Clee,26976518.0
Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,H.E.R.,26877803.0
Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,Russ,25915364.0
Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),24ngpWhBOxKJtIPnzSNX8c,December Avenue,24940075.0
Hindi Na Nga,2RgD3eO4IIGF16rR8Ch8OV,This Band,24465821.0
Dahan,6BxJLJw228OY5BFerPGl7z,December Avenue,24131818.0
Nobody Knows,1pNAf6W7POwjOD8x8mWf8G,Russ,23894043.0
Kill This Love,4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,23851292.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,23403975.0
Kahit Ayaw Mo Na,5V2AX2WTOHl2FKtftvisV6,This Band,22943887.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,22899969.0
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,22488618.0
Bagay Tayo,2mwd0LWLBgtQBEOLG96nbU,ALLMO$T,22426185.0
2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,22221059.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,22165470.0
Kahit Ayaw Mo Na,58grXgbCj7t5ulr0TGLIr9,This Band,21968959.0
Kahit Di Mo Alam,6GIzDc4xBUeYHwubWwTrhC,December Avenue,21387485.0
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,20552283.0
'Di Na Babalik,7hoP5NDUXEbmOawvEAsi8h,This Band,19599071.0
Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,Khalid,19593306.0
I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,Lauv,19458897.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,19321909.0
Mundo,4u8RkgV6P4TLi89SmlUtv8,IV Of Spades,19019041.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,18902787.0
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,18562406.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,18530911.0
Tagpuan,0ztDBQdQmdVZvorSmIjMih,Moira Dela Torre,17948537.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,17784061.0
Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,Bazzi,17543631.0
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,17495600.0
Sanctuary,3xaugmCyXrVkrDTXbFkMW3,Joji,17032935.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,16578419.0
