Track Name,spotify_id,Artist,Streams
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,14306260.0
Język ciała,3rM7bxaGhahPf0bhRBlrXM,Tymek,14096489.0
Rainman,7GMszPpwzW9Yehj9Ox2QLD,Tymek,13481761.0
hot coffee,4U4LEUWV8sFtos5PdjfDA7,schafter,12607838.0
Trofea,3pe05XBTPu2wpWwkVPzuUX,Dawid Podsiadło,11537163.0
W PIĄTKI LEŻĘ W WANNIE,4bpShq8coki3AlMsXuFCDa,Taco Hemingway,11247616.0
Chłopaki nie płaczą,4glBRF3uJCf3bTG4hhIhpn,Bedoes,11110857.0
Poza kontrolą,72sOrgrynSH73z4E41Ed0i,Tymek,11001807.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,10226658.0
Surfer,5vBtQYXPl3doQwnlFHwknb,be vis,9291772.0
Ona By Tak Chciała,4ocfGuRDytBDjTeJLDIDjL,Ronnie Ferrari,9155228.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,8996928.0
Bestia,5b9RQx9CLZRZcO1W8PvmcB,Young Igi,8869682.0
@,3EQDJ0MHppNeqOtAVoJqJH,chillwagon,8521930.0
Początek,6TfeSFGbqxGjIKuKLQOsKC,Męskie Granie Orkiestra 2018,8453725.0
Małomiasteczkowy,77vLpSAMNzeYL4EBeZxWqI,Dawid Podsiadło,8325201.0
LECI NOWY FUTURE,4DVPJXPqKLIon9BHklap1w,Taco Hemingway,8230798.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,7954917.0
California,2nFaT0t36H6UX3wN3Vxvjm,White 2115,7933509.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7728815.0
Najnowszy Klip,35UvOH0tRlSCdtWtaXuiWh,Dawid Podsiadło,7652791.0
Nadchodzi lato,25ON3izqwOFhEexcMUeWfP,Bedoes,7453966.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,7326988.0
Jagodzianki (prod.by Abel de Jong),2Zu0RM1e8qBQDfVIm072ki,Malik Montana,6965053.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,6868315.0
Delfin,0xoUDiOLXqp9qB3S9FkvUI,Bedoes,6727749.0
Sobie i Wam,5Jt9LBya59lo2T9qQ7jfH3,Męskie Granie Orkiestra 2019,6677416.0
Napad na bankiet,2yVGgYMwdNIcEdEiUzFUYc,Sokół,6648755.0
Outside,4SDdeq8HUaKPUGiE4WMASH,Kartky,6642951.0
Robię Yeah (prod.by FRNKIE),2hyh9YvwFB0cGjvyGk6Sxo,Malik Montana,6590643.0
Wybory,3KeWngnWN1REq9d26ZanKj,Jan-Rapowanie,6540369.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,6135568.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,6058719.0
Fiji,2CdCs9y04oDuYCF4ewNzI7,Taco Hemingway,5960016.0
candy.doll,4ogDI1pxczM40LfveHO188,schafter,5915447.0
Dementor,4SIVAJIeJN2KrcL6x5auUH,Filipek,5864593.0
rower,1iwYb3LTEAkMLA6YvR71TD,chillwagon,5862270.0
UA,3Vmq9lE9ayaO1wpcdxjn7c,Reto,5749141.0
8 kobiet - Remix,5s6jooT9ZcUjjD5qVx9B5K,TACONAFIDE,5746358.0
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,Miley Cyrus,5663537.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,5658830.0
Wiking,1ef8jV2jElVL74JzBKo6K7,Sarius,5604853.0
double D’s,5atl0dYLk4ctS0xeY41WzL,schafter,5431740.0
Będzie Lepiej,30OnKqCINi9fRJyQTEZeDz,Miyo,5423813.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,5376430.0
05:05,4oiXEXaXR2IPf3GVms9MLK,Bedoes,5373158.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,5350434.0
Mogę dziś umierać,3XtJwOJQroFfY98WJwzzep,White 2115,5276593.0
Ritual,3M9Apu4OZfylLTFKvgEtKa,Tiësto,5258086.0
Worldwide,5TvFjvlL5yvStZeaCPxNPI,Otsochodzi,5253718.0
