Track Name,spotify_id,Artist,Streams
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,277260819.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,264867459.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,263629514.0
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,228432445.0
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,227394313.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,226140582.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,218393516.0
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,199883167.0
Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,196065697.0
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,Lil Baby,194450998.0
Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,187221496.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,182212910.0
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,176738941.0
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,170963720.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,166566843.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,165131212.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,164416543.0
a lot,2t8yVaLvJ0RenpXUIAC52d,21 Savage,163389914.0
Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,Khalid,157101971.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,156940259.0
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,155258724.0
Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,154270069.0
Better,6zeeWid2sgw4lap2jV61PZ,Khalid,153980823.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,146889813.0
Robbery,6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,146625950.0
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,142948299.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,140067740.0
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,137793969.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,136902410.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,136547003.0
ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,Kodak Black,133086162.0
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,132551828.0
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,130486793.0
when the party's over,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,130219493.0
Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,129188538.0
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,126041410.0
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",124369918.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,122240263.0
Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,Khalid,121767224.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,118710659.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,116552577.0
Faucet Failure,1ThmUihH9dF8EV08ku5AXN,Ski Mask The Slump God,114920942.0
Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,113077635.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,112560686.0
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,112009311.0
Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,Juice WRLD,111275575.0
Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,Polo G,109960050.0
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,108199465.0
bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,107655492.0
Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,107536651.0
